PT_ID,SCHOOL,ZONE,CLUSTER,GROUP_ID,latitude,longitude,LEVEL,ENROLMENT,2023_OSO,OSO_pct,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,special,mothertongue1_code,mothertongue2_code,mothertongue3_code,HMSP_Tier,HMSP_Score
21,TEMASEK SECONDARY SCHOOL,EAST,E2,2,1.3163525,103.9478003,SECONDARY,1080,117,0.108333333,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Yes,Chinese,Malay,Tamil,D,0.375
22,YU NENG PRIMARY SCHOOL,EAST,E2,2,1.33420445,103.9328103,PRIMARY,1159,127,0.109577222,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,A,1
23,ANGSANA PRIMARY SCHOOL,EAST,E3,3,1.363118388,103.9390041,PRIMARY,1255,127,0.101195219,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,B,0.8
24,CHONGZHENG PRIMARY SCHOOL,EAST,E3,3,1.35054425,103.9509206,PRIMARY,1165,146,0.125321888,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0.2
25,DUNMAN SECONDARY SCHOOL,EAST,E3,3,1.36116845,103.9560139,SECONDARY,1066,166,0.155722326,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Yes,Chinese,Malay,Tamil,D,0.416666667
26,EAST SPRING PRIMARY SCHOOL,EAST,E3,3,1.3528815,103.9619173,PRIMARY,1167,159,0.136246787,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.4
27,EAST SPRING SECONDARY SCHOOL,EAST,E3,3,1.35697385,103.9610806,SECONDARY,951,184,0.193480547,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0.125
28,FERN GREEN PRIMARY SCHOOL,EAST,E3,3,1.397140977,103.8797444,PRIMARY,1604,209,0.130299252,SENG KANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0.166666667
29,GONGSHANG PRIMARY SCHOOL,EAST,E3,3,1.3572,103.9492,PRIMARY,1371,166,0.121079504,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.375
30,JUNYUAN SECONDARY SCHOOL,EAST,E3,3,1.35317525,103.9335447,SECONDARY,1012,171,0.168972332,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0
