PT_ID,SCHOOL,ZONE,CLUSTER,GROUP_ID,PRI,SEC,n_STALLS,n_PASS,TIER_SCORE,TIER,latitude,longitude
54,TANJONG KATONG PRIMARY SCHOOL,EAST,E5,5,1,0,6,5,0.833333333,B,1.30532425,103.9004551
55,TANJONG KATONG SECONDARY SCHOOL,EAST,E5,5,0,1,8,3,0.375,D,1.30874385,103.8972354
56,CASUARINA PRIMARY SCHOOL,EAST,E6,6,1,0,7,2,0.142857143,E,1.3728079,103.9572279
57,NGEE ANN SECONDARY SCHOOL,EAST,E6,6,0,1,8,2,0.375,D,1.3543069,103.9566528
58,OASIS PRIMARY SCHOOL,EAST,E6,6,1,0,8,1,0.125,E,1.40465295,103.9109764
59,PARK VIEW PRIMARY SCHOOL,EAST,E6,6,1,0,5,2,0.4,D,1.3776122,103.9392671
60,PASIR RIS PRIMARY SCHOOL,EAST,E6,6,1,0,6,2,0.333333333,D,1.37215285,103.9630263
61,PASIR RIS SECONDARY SCHOOL,EAST,E6,6,0,1,8,4,0.5,C,1.35470585,103.9485272
62,ST. HILDA'S PRIMARY SCHOOL,EAST,E6,6,1,0,8,2,0.25,D,1.3493751,103.9365936
63,ST. HILDA'S SECONDARY SCHOOL,EAST,E6,6,0,1,8,7,0.875,B,1.350089,103.9369951
64,TAMPINES NORTH PRIMARY SCHOOL,EAST,E6,6,1,0,7,5,0.714285714,C,1.3605548,103.9490661
65,TAMPINES PRIMARY SCHOOL,EAST,E6,6,1,0,8,1,0.25,D,1.3503174,103.9439019
66,TAMPINES SECONDARY SCHOOL,EAST,E6,6,0,1,8,7,0.875,B,1.3494462,103.9441023
67,WATERWAY PRIMARY SCHOOL,EAST,E6,6,1,0,6,0,0,E,1.39924075,103.9183743
68,WHITE SANDS PRIMARY SCHOOL,EAST,E6,6,1,0,8,1,0.125,E,1.36547295,103.9612546
69,CEDAR GIRLS' SECONDARY SCHOOL,EAST,E7,7,0,1,10,8,0.8,B,1.33422015,103.8742312
70,CHIJ (KATONG),EAST,E7,7,1,0,6,1,0.166666667,E,1.30643785,103.910832
71,CHIJ KATONG CONVENT,EAST,E7,7,0,1,7,3,0.571428571,C,1.30633255,103.9177829
72,MAHA BODHI SCHOOL,EAST,E7,7,1,0,8,5,0.625,C,1.3284777,103.9015345
73,MANJUSRI SECONDARY SCHOOL,EAST,E7,7,0,1,7,2,0.142857143,E,1.32756135,103.9017139
74,NGEE ANN PRIMARY SCHOOL,EAST,E7,7,1,0,8,5,0.625,C,1.30554595,103.9179525
75,OPERA ESTATE PRIMARY SCHOOL,EAST,E7,7,1,0,4,1,0.25,D,1.3196642,103.923766
76,ST. PATRICK'S SCHOOL,EAST,E7,7,0,1,11,4,0.363636364,D,1.3079723,103.917371
77,ST. STEPHEN'S PRIMARY SCHOOL,EAST,E7,7,1,0,7,2,0.285714286,D,1.318257,103.9182735
78,TAO NAN SCHOOL,EAST,E7,7,1,0,9,7,0.777777778,B,1.305120419,103.9114018
79,VICTORIA SCHOOL,EAST,E7,7,0,1,10,9,0.9,B,1.30854205,103.9274578
80,BOWEN SECONDARY SCHOOL,NORTH,N1,8,0,1,8,0,0,E,1.37088385,103.8776018
81,CHIJ ST. JOSEPH'S CONVENT,NORTH,N1,8,0,1,6,1,0.166666667,E,1.39185175,103.9024866
82,NORTH VISTA PRIMARY SCHOOL,NORTH,N1,8,1,0,7,1,0.142857143,E,1.3828948,103.8959771
83,NORTH VISTA SECONDARY SCHOOL,NORTH,N1,8,0,1,10,4,0.4,D,1.38173725,103.8987395
84,PALM VIEW PRIMARY SCHOOL,NORTH,N1,8,1,0,6,0,0,E,1.3840612,103.8912122
85,RIVERVALE PRIMARY SCHOOL,NORTH,N1,8,1,0,8,2,0.25,D,1.39365955,103.9046125
